시군구,의료기관명,진료과수,병상수,전화번호,주소,Latitude,Longitude,국민안심병원 여부,감염병전담기관 여부,감염병전담기관 외래진료 가능여부
전남 광양시,광양병원,5,30,061-761-7577,전라남도 광양시 광양읍 인덕로 992,34.9711046,127.5821405,,,
전남 광양시,광양사랑병원,10,157,061-797-7000,전남 광양시 공영로 71,34.9361515,127.6970766,,,
전남 구례군,구례병원,5,89,061-780-3300,전라남도 구례군 구례읍 동편제길 4,35.2159901,127.463487,,,
전남 나주시,나주종합병원,8,200,061-330-6114,전라남도 나주시 영산로 5419 (성북동),35.0365136,126.7214532,,,
전남 나주시,나주비뇨가과의원,8,8,061-334-8823,전라남도 나주시 영산로 5419 (성북동),35.0365136,126.7214532,,,
전남 담양군,담양사랑병원,6,128,061-380-9000,전라남도 담양군 담양읍 천변7길 19,35.3152638,126.982747,,,
전남 목포시,목포시의료원,15,120,061-260-6500,전라남도 목포시 이로로 18 (용해동),34.8041235,126.4053521,Y,,
전남 목포시,목포이비인후과,6,0,061-276-7370,전라남도 목포시 영산로 251 (용당동),34.8043451,126.3977435,,,
전남 무안군,무안종합병원,15,281,061-450-3000,전라남도 무안군 무안읍 몽탄로 65,34.9914382,126.4891531,,,
전남 보성군,벌교삼호병원,6,418,061-859-5000,전라남도 보성군 벌교읍 남하로 12,34.83369,127.3459825,,,
전남 보성군,보성아산병원,5,120,061-850-3114,전라남도 보성군 미력면 가평길 36-17,34.7755385,127.1051557,,,
전남 순천시,성가롤로병원,24,589,061-720-2000,전남 순천시 전남 순천시 순광로 221,34.9642662,127.5428763,Y,,
전남 순천시,순천의료원,11,130,061-759-9430,전남 순천시 서문성터길 2,34.9581335,127.4834761,,,
전남 신안군,서울의원,9,43,061-275-7650,전라남도 신안군 지도읍 봉리길 16-3,35.0606316,126.2115923,,,
전남 신안군,신안대우병원,4,30,061-262-3301,전라남도 신안군 비금면 송치길 155-11,34.7223845,125.9330008,,,
전남 신안군,흑산면보건지소,3,0,061-275-9062,전라남도 신안군 흑산면 흑산일주로 16,34.6836243,125.442905,,,
전남 여수시,한마음의료재단 여수제일병원,8,290,061-689-8123,전라남도 여수시 쌍봉로 70 (학동),34.7660227,127.6636158,,,
전남 여수시,여수전남병원,16,287,061-640-7160,전라남도 여수시 좌수영로 49 (광무동) (광무동120-1) 원무부,34.7450563,127.7280578,Y,,
전남 영광군,영광종합병원,9,214,061-353-8000,전라남도 영광군 영광읍 와룡로 3,35.2844251,126.4989075,,,
전남 영암군,영암내과의원,6,0,061-472-0055,전라남도 영암군 영암읍 중앙로 34,34.7991107,126.6976378,,,
전남 영암군,하나안과의원,1,0,061-471-2007,전라남도 영암군 영암읍 동문로 5,34.7962478,126.7024439,,,
전남 완도군,소안보건지소,0,0,061-550-6864,전라남도 완도군 소안면 소안로 213-1,34.1714287,126.6531487,,,
전남 완도군,소안의원,10,0,061-554-8119,전라남도 완도군 소안면 소안로 177,34.1733132,126.6498182,,,
전남 완도군,완도금일보건지소,3,0,061-550-6793,전라남도 완도군 금일읍 금일로 397,34.3492508,127.0299988,,,
전남 완도군,완도대성병원,7,120,061-553-1234,전라남도 완도군 완도읍 청해진동로 63,34.3170561,126.7356881,,,
전남 완도군,완도신노화의원,8,0,061-553-5700,전라남도 완도군 노화읍 노화로870번길 21-2,34.1774853,126.5721731,,,
전남 장성군,장성병원,6,167,061-390-9200,전라남도 장성군 장성읍 역전로 171,35.3058474,126.7836589,,,
전남 장흥군,의료법인 우범의료재단 장흥종합병원,11,200,061-8628-3004,전라남도 장흥군 장흥읍 흥성로 74,34.6770898,126.9111921,Y,,
전남 진도군,조도면보건지소,3,0,061-542-5153,전라남도 진도군 조도면 창유1길 58-26,34.2949572,126.0466575,,,
전남 진도군,진도전남병원,4,108,061-544-7933,전라남도 진도군 진도읍 남문길 12-11,34.4792952,126.2652077,,,
전남 함평군,함평성심병원,2,130,061-324-0001,전남 함평군 영수길 136,35.0620558,126.519886,,,
전남 해남군,해남종합병원,13,293,061-530-0114,전남 해남군 해남로 45,34.5716031,126.6130203,,,
전남 해남군,해남한국병원,5,95,061-530-3000,전남 해남군 해남읍 중앙2로 123,34.5669069,126.5957819,,,
전남 화순군,화순고려병원,12,327,061-370-3700,전라남도 화순군 화순읍 충의로 109,35.0561932,126.9896121,,,
전북 고창군,고창병원,10,188,063-560-5600,전북 고창군 고차읍 화신1길 9,35.4364207,126.693663,Y,,
전북 군산시,군산의료원,20,430,063-472-5000,전라북도 군산시 의료원로 27 (지곡동),35.9548898,126.7119167,Y,Y,Y
전북 군산시,누가병원,4,162,063-450-0904,전라북도 군산시 백릉로 70,35.9750726,126.73353,,,
전북 김제시,김제우석병원,7,104,063-540-5114,전라북도 김제시 서암4길 45,35.8073551,126.8802411,,,
전북 김제시,이명철정형외과,1,29,063-544-8083,전라북도 김제시 동서로 125 (옥산동),35.7893158,126.8824599,,,
전북 남원시,남원의료원,18,350,063-620-1114,전라북도 남원시 충정로 365 (고죽동),35.4383803,127.4057895,Y,,
전북 남원시,중앙가정의학과의원,7,0,063-625-8977,전라북도 남원시 용성로 79 (동충동),35.4099162,127.3850437,,,
전북 무주군,무주보건의료원,7,50,063-320-8314,전라북도 무주군 무주읍 한풍루로 413,36.0058824,127.6717091,,,
전북 부안군,혜성병원,9,130,063-583-5001,"전라북도 부안군 부안읍 부령로 33, 혜성병원",35.7327818,126.7460738,,,
전북 순창군,최선영내과의원,4,16,063-653-5302,전라북도 순창군 순창읍 옥천로 60,35.3778944,127.1414144,,,
전북 완주군,한솔병원,10,14,063-262-0034,"전라북도 완주군 고산면 고산로 81, 2층",35.9752518,127.2059569,,,
전북 완주군,참좋은 삼례 내과의원,1,10,063-291-5650,전라북도 완주군 삼례읍 동학로 28,35.9101197,127.0749891,,,
전북 익산시,익산병원,11,274,063-840-9114,전북 익산시 무왕로 973,35.9592947,126.9671608,Y,,
전북 익산시,익산제일병원,5,0,063-840-2305,전라북도 익산시 평동로 665 (인화동1가),35.9308875,126.9494313,,,
전북 임실군,임실보건의료원,6,0,063-640-3101,전라북도 임실군 임실읍 호국로 1680,35.6127033,127.2873253,,,
전북 장수군,장수보건의료원,8,30,063-350-3122,전북 장수군 장수읍 장천로 247,35.6542283,127.5197623,,,
전북 전주시,호성전주병원,7,128,063-240-8800,전라북도 전주시 덕진구 동부대로 895,35.8654304,127.1479175,Y,,
전북 전주시,전주시노인복지병원,4,164,063-221-9005,전라북도 전주시 완산구 능안자구길 80 (삼천동3가),35.8039612,127.0855774,,,
전북 전주시,전주예수병원,22,579,063-230-8114,전라북도 전주시 완산구 서원로 365 (중화산동1가),35.8136515,127.1308182,Y,,
전북 정읍시,정읍사랑병원,9,262,063-530-3100,전라북도 정읍시 상동중앙로 94 (상동),35.5647444,126.8715067,,,
전북 정읍시,정읍아산병원,13,250,063-530-6114,전라북도 정읍시 충정로 606-22 (용계동),35.5948064,126.8111627,,,
전북 진안군,진안군의료원,10,85,063-430-7108,전라북도 진안군 진안읍 진무로 1145,35.7948193,127.4321405,,,
제주 서귀포시,강남정형외과의원,6,0,064-792-3001,제주 서귀포시 대정읍 신영로 119,33.2226842,126.2543341,,,
제주 서귀포시,서귀포열린병원,6,75,064-762-8001,제주특별자치도 서귀포시 일주동로 8638 (동홍동),33.2545394,126.565499,,,
제주 서귀포시,서귀포의료원,14,220,064-717-1905,제주특별자치도 서귀포시 장수로 47 (동홍동),33.2560963,126.5630644,,Y,Y
제주 서귀포시,우리의원,6,0,064-784-5575,제주특별자치도 서귀포시 성산읍 고성오조로 62,33.4493803,126.9152728,,,
제주 제주시,늘봄재활전문병원,2,98,064-752-0022,제주특별자치도 제주시 관덕로 30 (삼도이동),33.5129738,126.5224784,,,
제주 제주시,문의원,2,0,064-796-0160,제주특별자치도 제주시 한림읍 한림로 652,33.4138347,126.262921,,,
제주 제주시,제주대학교병원,24,544,064-717-1114,제주특별자치도 제주시 아란13길 15 (아라일동),33.4670429,126.5457558,Y,Y,Y
제주 제주시,제주의료원,6,297,064-720-2222,제주특별자치도 제주시 산천단남길 10 (아라일동),33.4452709,126.5601453,,Y,Y
제주 제주시,제주한라병원,24,600,064-740-5000,제주 제주시 제주시 도령로 65번지,33.4898195,126.4851928,Y,,
충남 계룡시,김광석외과의원,5,14,042-841-4411,충남 계룡시 엄사면 번영로 14,36.28825,127.2435529,,,
충남 공주시,공주의료원,13,212,041-855-4111,충남 공주시 웅진로 130,36.4518729,127.1248194,,,
충남 금산군,금산365의원,7,29,041-754-9365,충청남도 금산군 금산읍 후곤천길 73,36.1056825,127.4902871,,,
충남 논산시,고려병원,5,29,041-732-3489,충남 논산시 해월로 143번길 6-1,36.2043035,127.0836998,,,
충남 논산시,백제종합병원,17,695,041-733-2191,충남 논산시 시민로 294번길 14,36.1923478,127.0943895,Y,,
충남 당진시,당진성모병원,1,49,041-351-0200,충청남도 당진시 당진중앙1로 43 (읍내동),36.8931737,126.6275366,,,
충남 당진시,서울신경외과의원,3,0,041-352-2166,충청남도 당진시 계성3길 31-4 (읍내동),36.8988365,126.6334266,,,
충남 보령시,보령아산병원,11,220,041-930-5114,충청남도 보령시 죽성로 136 (죽정동),36.3805499,126.6232855,,,
충남 부여군,건양대학교부여병원,4,81,041-837-1200,충청남도 부여군 부여읍 계백로 200,36.275721,126.9010699,,,
충남 부여군,서울정형외과의원,6,29,041-832-5959,충청남도 부여군 성왕로 196,36.2818875,126.9095755,,,
충남 서산시,서산의료원,14,172,041-689-7000,충청남도 서산시 중앙로 149 (석림동),36.7775509,126.4751753,,,
충남 서천군,공정형외과의원,7,29,041-952-0788,충남 서천군 충남 서천군 서천읍 충절로 59번길 37-7,36.076618,126.6900133,,,
충남 서천군,의료법인 서해의료재단 서해병원,4,89,041-951-8282,충남 서천군 서천읍 서천로 184,36.0844803,126.6876312,,,
충남 아산시,아산충무병원,16,191,041-570-5470,충남 아산시 문화로 381,36.7792199,127.0200411,Y,,
충남 예산군,예산명지병원,9,173,041-335-2255,충청남도 예산군 예산읍 신례원로 26,36.7129157,126.833862,,,
충남 천안시,예일병원,2,100,041-571-7000,충청남도 천안시 서북구 충무로 129 (쌍용동),36.7930172,127.1217545,,,
충남 천안시,천안의료원,10,154,041-570-7200,충청남도 천안시 동남구 봉정로 25 (봉명동),36.8047839,127.1388019,,Y,N
충남 청양군,청양군보건의료원,8,12,041-942-3401,충청남도 청양군 청양읍 칠갑산로7길 54,36.4551521,126.8049308,,,
충남 태안군,이신경외과의원,8,29,041-674-6006,충청남도 태안군 태안읍 동문1길 15,36.7497112,126.3019893,,,
충남 태안군,태안군보건의료원,8,30,041-671-5300,충청남도 태안군 태안읍 서해로 1952-16,36.7519439,126.3229392,,,
충남 홍성군,홍성의료원,21,422,041-630-6114,충청남도 홍성군 홍성읍 조양로 224,36.5988023,126.6743322,,,
충북 괴산군,괴산성모병원(의료법인 대광의재단),7,110,043-830-5400,충청북도 괴산군 괴산읍 임꺽정로 116,36.8154141,127.7842382,,,
충북 보은군,보은한양병원,3,79,043-544-1500,충청북도 보은군 보은읍 보은로 102,36.4832783,127.7182865,,,
충북 영동군,서외과의원,6,29,043-742-1171,충북 영동군 영동읍 부용리 345-67,36.173483,127.772942,,,
충북 영동군,영동병원,5,145,043-740-9000,충북 영동군 영동읍 설계리 산 22-8,36.1861072,127.7806348,,,
충북 옥천군,의료법인 힐링의료재단 옥천성모병원,9,130,043-730-7000,충청북도 옥천군 옥천읍 성왕로 1195,36.3137075,127.571949,,,
충북 음성군,음성금왕태성병원,9,168,043-883-8800,충청북도 음성군 금왕읍 음성로1230번길 10,36.9974781,127.598521,,,
충북 제천시,의료법인명지의료재단 명지병원,11,205,043-640-8114,충청북도 제천시 내토로 991 (고암동),37.167514,128.2183318,Y,,
충북 제천시,노병연내과의원,1,0,043-644-6670,충청북도 제천시 의림대로 153,37.1413501,128.2120814,,,
충북 증평군,증평연세병원,4,69,043-838-9771,충청북도 증평읍 중앙로 149,36.7803479,127.5773496,,,
충북 진천군,진천성모병원,8,152,043-533-1711,충청북도 진천군 진천읍 중앙북로 36,36.858312,127.4406201,Y,,
충북 청주시 청원구,오창중앙병원,3,75,043-218-0119,충청북도 청주시 청원구 오창중앙로 32,36.7091284,127.4248435,,,
충북 청주시 상당구,의료법인 정산재단 효성병원,21,498,043-221-5000,충청북도 청주시 상당구 쇠내로 16,36.6244467,127.4955285,Y,,
충북 청주시 청원구,초정노인병원,3,150,043-213-7123,충청북도 청주시 청원구 내수읍 우산길 91,36.7236036,127.5930283,,,
충북 청주시 흥덕구,청주현대병원,4,150,043-237-2114,충청북도 청주시 흥덕구 비하로65(비하동),36.6328867,127.424581,,,
충북 충주시,건국대충주병원,23,464,043-840-8200,충청북도 충주시 국원대로 82 (교현동),36.9789554,127.9288846,Y,,
충북 충주시,송원요양병원,2,105,043-856-3501,충청북도 충주시 주덕읍 신양로 62,36.9717142,127.7941216,,,
충북 충주시,충주시노인전문병원,4,120,043-855-9393,충청북도 충주시 동량면 충원대로 1398,37.0483971,127.9309571,,,
